"indicator","period","start","end","group","subgroup","value"
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Hampshire",9.9
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Jersey",9.2
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Mexico",10.9
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New York",12.1
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","North Carolina",10.7
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","North Dakota",6.5
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Ohio",9.5
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Oklahoma",7.8
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Oregon",11.4
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Pennsylvania",9.5
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Rhode Island",14.3
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","South Carolina",7.3
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","South Dakota",5.9
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Tennessee",8.3
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Texas",6.8
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Utah",11.3
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Vermont",12.7
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Virginia",9.3
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Washington",10.5
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","West Virginia",9.9
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Wisconsin",7.7
"Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Wyoming",4.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Alabama",28.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Alaska",19.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Arizona",22.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Arkansas",26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","California",20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Colorado",22.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Connecticut",23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Delaware",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","District of Columbia",22.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Florida",19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Georgia",22.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Hawaii",16.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Idaho",23.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Illinois",20.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Indiana",24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Iowa",25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Kansas",23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Kentucky",28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Louisiana",26
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Maine",27.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Maryland",24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Massachusetts",26.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Michigan",21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Minnesota",23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Mississippi",21.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Missouri",24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Montana",22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Nebraska",20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Nevada",19.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Hampshire",22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Jersey",20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Mexico",24.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New York",22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","North Carolina",25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","North Dakota",21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Ohio",21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Oklahoma",28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Oregon",25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Pennsylvania",22.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Rhode Island",29
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","South Carolina",24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","South Dakota",22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Tennessee",24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Texas",20.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Utah",27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Vermont",24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Virginia",21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Washington",24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","West Virginia",33.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Wisconsin",21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Wyoming",19.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Alabama",9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Alaska",10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Arizona",11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Arkansas",9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","California",10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Colorado",11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Connecticut",8.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Delaware",9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","District of Columbia",9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Florida",7.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Georgia",10.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Hawaii",8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Idaho",8.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Illinois",9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Indiana",9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Iowa",8.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Kansas",12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Kentucky",12.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Louisiana",10
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Maine",9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Maryland",10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Massachusetts",8.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Michigan",12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Minnesota",8.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Mississippi",8.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Missouri",11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Montana",8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Nebraska",8.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Nevada",10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Hampshire",7.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Jersey",8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New Mexico",11
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","New York",8.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","North Carolina",10
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","North Dakota",6.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Ohio",7.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Oklahoma",10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Oregon",11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Pennsylvania",9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Rhode Island",7.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","South Carolina",9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","South Dakota",6.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Tennessee",10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Texas",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Utah",12.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Vermont",12.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Virginia",10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Washington",11.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","West Virginia",11
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Wisconsin",7.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","16",2020-09-30,2020-10-12,"By State","Wyoming",6.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","17",2020-10-14,2020-10-26,"By State","Alabama",21.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","17",2020-10-14,2020-10-26,"By State","Alaska",15.8
